date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:53:55	5307/5307	---M--	200	added ('OK')	application/x-javascript	etag:%2214bb-5453d560d0857%22	http://christiafung.com/js/jquery.hoverdir.js	C:/My%20Web%20Sites/maker/christiafung.com/js/jquery.hoverdir.js	(from http://christiafung.com/)
07:53:55	8415/8415	---M--	200	added ('OK')	application/x-javascript	etag:%2220df-5453d5627e343%22	http://christiafung.com/js/wow.min.js	C:/My%20Web%20Sites/maker/christiafung.com/js/wow.min.js	(from http://christiafung.com/)
07:53:55	11262/11262	---M--	200	added ('OK')	application/x-javascript	etag:%222bfe-5453d5617ddc3%22	http://christiafung.com/js/modernizr.custom.97074.js	C:/My%20Web%20Sites/maker/christiafung.com/js/modernizr.custom.97074.js	(from http://christiafung.com/)
07:53:56	7076/7076	---M--	200	added ('OK')	application/x-javascript	etag:%221ba4-5453d56716b31%22	http://christiafung.com/js/vendor/what-input.js	C:/My%20Web%20Sites/maker/christiafung.com/js/vendor/what-input.js	(from http://christiafung.com/)
07:53:56	1835/1835	---M--	200	added ('OK')	application/x-javascript	etag:%2272b-5453d560645c4%22	http://christiafung.com/js/classie.js	C:/My%20Web%20Sites/maker/christiafung.com/js/classie.js	(from http://christiafung.com/)
07:53:57	1304/1304	---M--	200	added ('OK')	application/x-javascript	etag:%22518-5453d5619fc94%22	http://christiafung.com/js/overlaymenu.js	C:/My%20Web%20Sites/maker/christiafung.com/js/overlaymenu.js	(from http://christiafung.com/)
07:53:57	23012/23012	---M--	200	added ('OK')	text/html	etag:%2259e4-5453d567c3115%22	http://christiafung.com/fonts/ptm55ft-webfont.woff2	C:/My%20Web%20Sites/maker/christiafung.com/fonts/ptm55ft-webfont.html	(from http://christiafung.com/css/styles.css)
07:53:58	29076/29076	---M--	200	added ('OK')	text/html	etag:%227194-5453d56795ac8%22	http://christiafung.com/fonts/ptm55ft-webfont.woff	C:/My%20Web%20Sites/maker/christiafung.com/fonts/ptm55ft-webfont-2.html	(from http://christiafung.com/css/styles.css)
07:53:59	1163/1163	---M--	200	added ('OK')	image/png	etag:%2248b-55e1680ea0527%22	http://christiafung.com/images/cross.png	C:/My%20Web%20Sites/maker/christiafung.com/images/cross.png	(from http://christiafung.com/css/styles.css)
07:54:00	23209/23209	---M--	200	added ('OK')	text/html	etag:%225aa9-5838feb4cd029%22	http://christiafung.com/index.html	C:/My%20Web%20Sites/maker/christiafung.com/index-2.html	(from http://christiafung.com/pepcirc.html)
07:54:08	186366/186366	---M--	200	added ('OK')	image/gif	etag:%222d7fe-55e168ce12285%22	http://christiafung.com/images/Thumb_6Degrees.gif	C:/My%20Web%20Sites/maker/christiafung.com/images/Thumb_6Degrees.gif	(from http://christiafung.com/)
07:54:18	62049/62049	---M--	200	added ('OK')	image/jpeg	etag:%22f261-5838fe7f6dc8d%22	http://christiafung.com/images/Proj-PC-MainLogo.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-MainLogo.jpg	(from http://christiafung.com/pepcirc.html)
07:54:21	122039/122039	---M--	200	added ('OK')	image/jpeg	etag:%221dcb7-5838fe801b5b6%22	http://christiafung.com/images/Proj-PC-MainLogo-XL.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-MainLogo-XL.jpg	(from http://christiafung.com/pepcirc.html)
07:54:30	50424/50424	---M--	200	added ('OK')	image/jpeg	etag:%22c4f8-5838fe7f07f95%22	http://christiafung.com/images/Proj-PC-Logos.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-Logos.jpg	(from http://christiafung.com/pepcirc.html)
07:54:33	88567/88567	---M--	200	added ('OK')	image/jpeg	etag:%22159f7-5838fe7f88e32%22	http://christiafung.com/images/Proj-PC-Logos-XL.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-Logos-XL.jpg	(from http://christiafung.com/pepcirc.html)
07:54:42	49986/49986	---M--	200	added ('OK')	image/jpeg	etag:%22c342-5838fe7f09ad4%22	http://christiafung.com/images/Proj-PC-Fonts.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-Fonts.jpg	(from http://christiafung.com/pepcirc.html)
07:54:42	79791/79791	---M--	200	added ('OK')	image/jpeg	etag:%22137af-5838fe7fd5c88%22	http://christiafung.com/images/Proj-PC-Fonts-XL.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-Fonts-XL.jpg	(from http://christiafung.com/pepcirc.html)
07:54:51	319277/319277	---M--	200	added ('OK')	image/jpeg	etag:%224df2d-588cfc40e82d7%22	http://christiafung.com/images/Proj-TopImage-PepCirc.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-TopImage-PepCirc.jpg	(from http://christiafung.com/pepcirc.html)
07:54:53	61908/61908	---M--	200	added ('OK')	image/jpeg	etag:%22f1d4-5838fe7ea8820%22	http://christiafung.com/images/Proj-PC-Icons.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-Icons.jpg	(from http://christiafung.com/pepcirc.html)
07:55:01	688118/688118	---M--	200	added ('OK')	image/gif	etag:%22a7ff6-5838fe6be1a9a%22	http://christiafung.com/images/Thumb_Matsuda.gif	C:/My%20Web%20Sites/maker/christiafung.com/images/Thumb_Matsuda.gif	(from http://christiafung.com/)
07:55:04	137411/137411	---M--	200	added ('OK')	image/jpeg	etag:%22218c3-5838fe7e8da9b%22	http://christiafung.com/images/Proj-PC-Icons-XL.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-Icons-XL.jpg	(from http://christiafung.com/pepcirc.html)
07:55:32	166059/166059	---M--	200	added ('OK')	image/jpeg	etag:%22288ab-5838fe724e2df%22	http://christiafung.com/images/Proj-PC-BothSauces.jpg	C:/My%20Web%20Sites/maker/christiafung.com/images/Proj-PC-BothSauces.jpg	(from http://christiafung.com/pepcirc.html)
